"id","timestamp","memory_usage_percent"
711,"2025-09-15 09:57:44.58513+00","36.73"
713,"2025-09-15 09:57:44.801975+00","36.25"
715,"2025-09-15 09:57:45.163005+00","34.81"
717,"2025-09-15 09:57:46.117919+00","31.22"
719,"2025-09-15 09:57:47.11765+00","31.20"
721,"2025-09-15 09:57:48.117086+00","31.20"
723,"2025-09-15 09:57:49.116452+00","31.19"
725,"2025-09-15 09:57:50.117654+00","31.17"
727,"2025-09-15 09:57:51.11872+00","31.12"
729,"2025-09-15 09:57:52.118986+00","31.13"
731,"2025-09-15 09:57:53.117845+00","31.12"
733,"2025-09-15 09:57:54.1164+00","31.12"
735,"2025-09-15 09:57:55.116521+00","31.12"
737,"2025-09-15 09:57:56.124191+00","31.12"
739,"2025-09-15 09:57:57.116651+00","31.11"
741,"2025-09-15 09:57:58.117109+00","31.09"
743,"2025-09-15 09:57:59.117186+00","31.09"
745,"2025-09-15 09:58:00.11725+00","31.08"
747,"2025-09-15 09:58:01.11677+00","31.08"
749,"2025-09-15 09:58:02.117306+00","31.08"
751,"2025-09-15 09:58:03.117746+00","31.08"
753,"2025-09-15 09:58:04.117009+00","31.04"
755,"2025-09-15 09:58:06.328049+00","31.04"
757,"2025-09-15 09:58:07.325246+00","31.03"
759,"2025-09-15 09:58:08.323277+00","31.03"
761,"2025-09-15 09:58:09.322221+00","31.04"
763,"2025-09-15 09:58:10.324711+00","31.07"
765,"2025-09-15 09:58:11.324101+00","31.05"
767,"2025-09-15 09:58:12.322401+00","31.04"
769,"2025-09-15 09:58:13.327486+00","31.04"
771,"2025-09-15 09:58:14.341209+00","31.04"
773,"2025-09-15 09:58:15.321825+00","31.04"
775,"2025-09-15 09:58:16.322615+00","31.04"
777,"2025-09-15 09:58:17.320818+00","31.04"
779,"2025-09-15 09:58:18.350579+00","31.04"
781,"2025-09-15 09:58:19.34862+00","31.04"
783,"2025-09-15 09:58:20.322372+00","31.04"
785,"2025-09-15 09:58:21.322913+00","31.04"
787,"2025-09-15 09:58:22.345894+00","31.05"
789,"2025-09-15 09:58:23.327252+00","31.08"
791,"2025-09-15 09:58:24.321082+00","31.08"
793,"2025-09-15 09:58:25.326845+00","31.08"
795,"2025-09-15 09:58:26.326407+00","31.08"
797,"2025-09-15 09:58:27.320635+00","31.08"
799,"2025-09-15 09:58:28.320909+00","31.07"
801,"2025-09-15 09:58:29.320312+00","31.07"
803,"2025-09-15 09:58:30.373156+00","31.07"
805,"2025-09-15 09:58:31.322766+00","31.07"
807,"2025-09-15 09:58:32.322709+00","31.06"
809,"2025-09-15 09:58:33.322171+00","31.06"
811,"2025-09-15 09:58:34.348076+00","31.06"
813,"2025-09-15 09:58:35.333864+00","31.07"
815,"2025-09-15 09:58:37.54375+00","31.07"
817,"2025-09-15 09:58:38.556969+00","31.07"
819,"2025-09-15 09:58:39.555273+00","31.07"
821,"2025-09-15 09:58:40.587226+00","31.11"
823,"2025-09-15 09:58:41.555484+00","31.11"
825,"2025-09-15 09:58:42.541234+00","31.11"
827,"2025-09-15 09:58:43.550455+00","31.11"
829,"2025-09-15 09:58:44.569232+00","31.10"
831,"2025-09-15 09:58:45.557273+00","31.10"
833,"2025-09-15 09:58:46.56464+00","31.10"
835,"2025-09-15 09:58:47.557405+00","31.10"
837,"2025-09-15 09:58:48.556336+00","31.11"
839,"2025-09-15 09:58:49.552799+00","31.11"
841,"2025-09-15 09:58:50.564005+00","31.10"
843,"2025-09-15 09:58:51.56069+00","31.11"
845,"2025-09-15 09:58:52.542928+00","31.10"
847,"2025-09-15 09:58:53.557327+00","31.09"
849,"2025-09-15 09:58:54.548539+00","31.09"
851,"2025-09-15 09:58:55.561989+00","31.09"
853,"2025-09-15 09:58:56.577671+00","31.09"
855,"2025-09-15 09:58:57.558785+00","31.09"
857,"2025-09-15 09:58:58.544246+00","31.09"
859,"2025-09-15 09:58:59.543519+00","31.09"
861,"2025-09-15 09:59:00.542106+00","31.09"
