"id","timestamp","memory_usage_percent"
567,"2025-09-15 12:14:21.498991+00","37.67"
569,"2025-09-15 12:14:22.499911+00","37.66"
571,"2025-09-15 12:14:23.49795+00","37.68"
573,"2025-09-15 12:14:24.49723+00","37.71"
575,"2025-09-15 12:14:25.521927+00","37.72"
577,"2025-09-15 12:14:26.506062+00","37.74"
579,"2025-09-15 12:14:27.497715+00","37.75"
581,"2025-09-15 12:14:28.498392+00","37.76"
583,"2025-09-15 12:14:29.496914+00","37.78"
585,"2025-09-15 12:14:30.498822+00","37.80"
587,"2025-09-15 12:14:31.497193+00","37.81"
589,"2025-09-15 12:14:32.497408+00","37.83"
591,"2025-09-15 12:14:33.497586+00","37.86"
593,"2025-09-15 12:14:34.49782+00","37.88"
595,"2025-09-15 12:14:35.522981+00","37.91"
597,"2025-09-15 12:14:36.496756+00","37.94"
599,"2025-09-15 12:14:37.497221+00","37.96"
601,"2025-09-15 12:14:38.498191+00","38.03"
603,"2025-09-15 12:14:39.498765+00","38.04"
605,"2025-09-15 12:14:40.499862+00","38.08"
607,"2025-09-15 12:14:41.501761+00","38.10"
609,"2025-09-15 12:14:42.498419+00","38.15"
611,"2025-09-15 12:14:43.497891+00","38.26"
613,"2025-09-15 12:14:44.497653+00","38.64"
615,"2025-09-15 12:14:45.501698+00","38.64"
617,"2025-09-15 12:14:46.5009+00","38.70"
619,"2025-09-15 12:14:47.501997+00","38.89"
621,"2025-09-15 12:14:48.497996+00","38.93"
623,"2025-09-15 12:14:49.495501+00","38.95"
625,"2025-09-15 12:14:50.494204+00","39.00"
627,"2025-09-15 12:14:51.494678+00","39.04"
629,"2025-09-15 12:14:52.493944+00","38.97"
631,"2025-09-15 12:14:53.4947+00","39.07"
633,"2025-09-15 12:14:54.495008+00","39.07"
635,"2025-09-15 12:14:55.493886+00","39.12"
637,"2025-09-15 12:14:56.503183+00","39.12"
639,"2025-09-15 12:14:57.520148+00","39.17"
641,"2025-09-15 12:14:58.501886+00","39.17"
643,"2025-09-15 12:14:59.494572+00","39.22"
645,"2025-09-15 12:15:00.494579+00","39.22"
647,"2025-09-15 12:15:01.494412+00","39.22"
649,"2025-09-15 12:15:02.493811+00","39.22"
651,"2025-09-15 12:15:03.497657+00","39.21"
653,"2025-09-15 12:15:04.494002+00","39.21"
655,"2025-09-15 12:15:05.493755+00","39.23"
657,"2025-09-15 12:15:06.494954+00","39.23"
659,"2025-09-15 12:15:07.495396+00","39.22"
661,"2025-09-15 12:15:08.495437+00","39.23"
663,"2025-09-15 12:15:09.494386+00","39.23"
665,"2025-09-15 12:15:10.49416+00","39.23"
667,"2025-09-15 12:15:11.49486+00","39.23"
669,"2025-09-15 12:15:12.494273+00","39.22"
671,"2025-09-15 12:15:13.494591+00","39.26"
